ts,TS1,TS2,TS3,TS_calib,nr_acq_data
2022-05-06T22:35:48.913971,25.788482666015625,19.561809539794922,23.276214599609375,False,1
2022-05-06T22:35:49.118875,25.788482666015625,19.70687484741211,23.254791259765625,False,2
2022-05-06T22:35:49.322968,25.788482666015625,19.610031127929688,23.251220703125,False,3
2022-05-06T22:35:49.525406,25.752315521240234,19.6584529876709,23.247650146484375,False,4
2022-05-06T22:35:49.726013,25.752315521240234,19.70687484741211,23.24053955078125,False,5
2022-05-06T22:35:49.931011,25.752315521240234,19.610031127929688,23.23516845703125,False,6
2022-05-06T22:35:50.133286,25.752315521240234,19.6584529876709,23.2333984375,False,7
2022-05-06T22:35:50.350919,25.752315521240234,19.51358985900879,23.22088623046875,False,8
2022-05-06T22:35:50.551659,25.788482666015625,19.70687484741211,23.213775634765625,False,9
2022-05-06T22:35:50.752371,25.752315521240234,19.610031127929688,23.206634521484375,False,10
2022-05-06T22:35:50.952909,25.752315521240234,19.6584529876709,23.201263427734375,False,11
2022-05-06T22:35:51.154919,25.752315521240234,19.610031127929688,23.194122314453125,False,12
2022-05-06T22:35:51.359910,25.788482666015625,19.610031127929688,23.18524169921875,False,13
2022-05-06T22:35:51.565199,25.752315521240234,19.610031127929688,23.17633056640625,False,14
2022-05-06T22:35:51.766079,25.752315521240234,19.6584529876709,23.17095947265625,False,15
2022-05-06T22:35:51.968970,25.752315521240234,19.70687484741211,23.163848876953125,False,16
2022-05-06T22:35:52.169981,25.752315521240234,19.610031127929688,23.156707763671875,False,17
2022-05-06T22:35:52.383433,25.71614646911621,19.610031127929688,23.14959716796875,False,18
2022-05-06T22:35:52.596438,25.752315521240234,19.70687484741211,23.128204345703125,False,19
2022-05-06T22:35:53.001793,25.71614646911621,19.610031127929688,23.124664306640625,False,20
2022-05-06T22:35:52.800747,25.752315521240234,19.610031127929688,23.124664306640625,False,21
2022-05-06T22:35:53.204433,25.752315521240234,19.6584529876709,23.12109375,False,22
2022-05-06T22:35:53.409576,25.71614646911621,19.6584529876709,23.113983154296875,False,23
2022-05-06T22:35:53.616121,25.67997932434082,19.70687484741211,23.108642578125,False,24
2022-05-06T22:35:53.822122,25.67997932434082,19.610031127929688,23.105072021484375,False,25
2022-05-06T22:35:54.022260,25.71614646911621,19.610031127929688,23.09619140625,False,26
2022-05-06T22:35:54.238145,25.752315521240234,19.610031127929688,23.0872802734375,False,27
2022-05-06T22:35:54.438498,25.67997932434082,19.51358985900879,23.060577392578125,False,28
2022-05-06T22:35:54.842320,25.67997932434082,19.561809539794922,23.0570068359375,False,29
2022-05-06T22:35:54.640311,25.643808364868164,19.51358985900879,23.0570068359375,False,30
2022-05-06T22:35:55.248586,25.752315521240234,19.610031127929688,23.044586181640625,False,31
2022-05-06T22:35:55.047586,25.752315521240234,19.610031127929688,23.04632568359375,False,32
2022-05-06T22:35:55.655702,25.67997932434082,19.610031127929688,23.03387451171875,False,33
2022-05-06T22:35:55.453315,25.71614646911621,19.561809539794922,23.03387451171875,False,34
2022-05-06T22:35:55.857129,25.71614646911621,19.610031127929688,23.0250244140625,False,35
2022-05-06T22:35:56.465748,25.71614646911621,19.610031127929688,23.0125732421875,False,36
2022-05-06T22:35:56.056268,25.67997932434082,19.561809539794922,23.023223876953125,False,37
2022-05-06T22:35:56.260322,25.752315521240234,19.561809539794922,23.01080322265625,False,38
2022-05-06T22:35:56.669846,25.71614646911621,19.610031127929688,22.99835205078125,False,39
2022-05-06T22:35:56.882620,25.752315521240234,19.51358985900879,22.989471435546875,False,40
2022-05-06T22:35:57.100365,25.71614646911621,19.51358985900879,22.9876708984375,False,41
2022-05-06T22:35:57.303871,25.71614646911621,19.51358985900879,22.98590087890625,False,42
2022-05-06T22:35:57.507561,25.643808364868164,19.561809539794922,22.975250244140625,False,43
2022-05-06T22:35:57.713582,25.67997932434082,19.561809539794922,22.977020263671875,False,44
2022-05-06T22:35:58.119826,25.71614646911621,19.610031127929688,22.964569091796875,False,45
2022-05-06T22:35:57.915124,25.67997932434082,19.561809539794922,22.966339111328125,False,46
2022-05-06T22:35:58.527501,25.71614646911621,19.6584529876709,22.9556884765625,False,47
2022-05-06T22:35:58.325530,25.752315521240234,19.6584529876709,22.9556884765625,False,48
2022-05-06T22:35:58.728216,25.60763931274414,19.561809539794922,22.94329833984375,False,49
2022-05-06T22:35:58.928854,25.571468353271484,19.51358985900879,22.945037841796875,False,50
2022-05-06T22:35:59.344603,25.71614646911621,19.610031127929688,22.94329833984375,False,51
2022-05-06T22:35:59.142852,25.71614646911621,19.561809539794922,22.941497802734375,False,52
2022-05-06T22:35:59.551792,25.67997932434082,19.6584529876709,22.93438720703125,False,53
2022-05-06T22:35:59.766050,25.643808364868164,19.610031127929688,22.9361572265625,False,54
2022-05-06T22:35:59.969042,25.60763931274414,19.561809539794922,22.93084716796875,False,55
2022-05-06T22:36:00.174042,25.71614646911621,19.610031127929688,22.92730712890625,False,56
2022-05-06T22:36:00.387597,25.643808364868164,19.610031127929688,22.925506591796875,False,57
2022-05-06T22:36:00.588880,25.643808364868164,19.6584529876709,22.920196533203125,False,58
2022-05-06T22:36:00.791312,25.535301208496094,19.51358985900879,22.914886474609375,False,59
2022-05-06T22:36:00.993846,25.60763931274414,19.51358985900879,22.9095458984375,False,60
2022-05-06T22:36:01.198048,25.67997932434082,19.561809539794922,22.9095458984375,False,61
2022-05-06T22:36:01.400250,25.571468353271484,19.561809539794922,22.902435302734375,False,62
2022-05-06T22:36:01.600757,25.643808364868164,19.51358985900879,22.898895263671875,False,63
2022-05-06T22:36:01.813779,25.571468353271484,19.51358985900879,22.891815185546875,False,64
2022-05-06T22:36:02.014522,25.60763931274414,19.51358985900879,22.8900146484375,False,65
2022-05-06T22:36:02.215096,25.571468353271484,19.610031127929688,22.88470458984375,False,66
2022-05-06T22:36:02.416408,25.571468353271484,19.51358985900879,22.88116455078125,False,67
2022-05-06T22:36:02.616556,25.67997932434082,19.51358985900879,22.874053955078125,False,68
2022-05-06T22:36:02.841119,25.67997932434082,19.610031127929688,22.870513916015625,False,69
2022-05-06T22:36:03.043329,25.571468353271484,19.51358985900879,22.870513916015625,False,70
