TS,mean,std,compensate,uncertainty,values
TS1,25.408347663879393,0.06659236679153059,2.4083476638793933,0.018,"[0, 25.49913215637207, 25.49913215637207, 25.462961196899414, 25.462961196899414, 25.462961196899414, 25.462961196899414, 25.49913215637207, 25.49913215637207, 25.462961196899414, 25.462961196899414, 25.462961196899414, 25.462961196899414, 25.49913215637207, 25.535301208496094, 25.462961196899414, 25.426794052124023, 25.49913215637207, 25.49913215637207, 25.426794052124023, 25.462961196899414, 25.462961196899414, 25.462961196899414, 25.462961196899414, 25.462961196899414, 25.390625, 25.462961196899414, 25.462961196899414, 25.426794052124023, 25.426794052124023, 25.462961196899414, 25.462961196899414, 25.462961196899414, 25.426794052124023, 25.462961196899414, 25.462961196899414, 25.462961196899414, 25.426794052124023, 25.462961196899414, 25.462961196899414, 25.462961196899414, 25.390625, 25.390625, 25.426794052124023, 25.426794052124023, 25.426794052124023, 25.390625, 25.390625, 25.35445785522461, 25.390625, 25.390625, 25.390625, 25.426794052124023, 25.426794052124023, 25.426794052124023, 25.426794052124023, 25.462961196899414, 25.426794052124023, 25.426794052124023, 25.390625, 25.390625, 25.426794052124023, 25.426794052124023, 25.426794052124023, 25.35445785522461, 25.390625, 25.390625, 25.462961196899414, 25.35445785522461, 25.318288803100586, 25.35445785522461, 25.390625, 25.426794052124023, 25.390625, 25.390625, 25.426794052124023, 25.426794052124023, 25.426794052124023, 25.390625, 25.318288803100586, 25.390625, 25.35445785522461, 25.390625, 25.318288803100586, 25.426794052124023, 25.318288803100586, 25.390625, 25.390625, 25.318288803100586, 25.318288803100586, 25.318288803100586, 25.28211784362793, 25.24595069885254, 25.24595069885254, 25.24595069885254, 25.24595069885254, 25.318288803100586, 25.24595069885254, 25.28211784362793, 25.28211784362793, 25.28211784362793, 22.873770179748536, 22.909941139221193, 22.873770179748536, 22.873770179748536, 22.909941139221193, 22.946110191345216, 22.837603034973146, 22.837603034973146, 22.873770179748536, 22.837603034973146, 22.873770179748536, 22.873770179748536, 22.909941139221193, 22.873770179748536, 22.946110191345216, 22.873770179748536, 22.909941139221193, 22.837603034973146, 22.801433982849122, 22.837603034973146, 22.873770179748536, 22.873770179748536, 22.873770179748536, 22.873770179748536, 22.837603034973146, 22.837603034973146, 22.909941139221193, 22.837603034973146, 22.801433982849122, 22.837603034973146, 22.873770179748536, 22.801433982849122, 22.873770179748536, 22.837603034973146, 22.837603034973146, 22.837603034973146, 22.801433982849122, 22.873770179748536, 22.837603034973146, 22.909941139221193, 22.873770179748536, 22.909941139221193, 22.837603034973146, 22.765263023376466, 22.837603034973146, 22.837603034973146, 22.873770179748536, 22.801433982849122, 22.837603034973146, 22.873770179748536, 22.873770179748536, 22.909941139221193, 22.909941139221193, 22.837603034973146, 22.909941139221193, 22.873770179748536, 22.765263023376466, 22.837603034973146, 22.837603034973146, 22.873770179748536, 22.837603034973146, 22.873770179748536, 22.801433982849122, 22.801433982849122, 22.801433982849122, 22.837603034973146, 22.801433982849122, 22.837603034973146, 22.837603034973146, 22.837603034973146, 22.765263023376466, 22.837603034973146, 22.801433982849122, 22.837603034973146, 22.837603034973146, 22.801433982849122, 22.801433982849122, 22.765263023376466, 22.765263023376466, 22.801433982849122, 22.801433982849122, 22.801433982849122, 22.765263023376466, 22.873770179748536, 22.801433982849122, 22.765263023376466, 22.765263023376466, 22.765263023376466, 22.909941139221193, 22.837603034973146, 22.765263023376466, 22.837603034973146, 22.837603034973146, 22.801433982849122, 22.837603034973146, 22.801433982849122, 22.765263023376466, 22.837603034973146, 22.837603034973146, 22.801433982849122, 22.837603034973146, 22.801433982849122, 22.801433982849122, 22.837603034973146, 22.801433982849122, 22.801433982849122, 22.765263023376466, 22.837603034973146, 22.837603034973146, 22.765263023376466, 22.765263023376466, 22.801433982849122]"
TS2,19.51744739532471,0.021217013274533188,-3.4825526046752913,0.0031,"[0, 19.561809539794922, 19.610031127929688, 19.51358985900879, 19.561809539794922, 19.51358985900879, 19.51358985900879, 19.561809539794922, 19.51358985900879, 19.561809539794922, 19.561809539794922, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.465368270874023, 19.51358985900879, 19.51358985900879, 19.465368270874023, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.465368270874023, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.465368270874023, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.610031127929688, 19.51358985900879, 19.561809539794922, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.51358985900879, 19.561809539794922, 19.51358985900879, 19.561809539794922, 19.51358985900879, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 23.044362144470213, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 23.044362144470213, 22.99614246368408, 22.99614246368408, 22.99614246368408, 23.044362144470213, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 23.044362144470213, 22.99614246368408, 22.99614246368408, 23.044362144470213, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 23.09258373260498, 22.99614246368408, 23.044362144470213, 23.044362144470213, 22.99614246368408, 23.044362144470213, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 23.044362144470213, 22.99614246368408, 23.044362144470213, 22.99614246368408, 23.044362144470213, 22.99614246368408, 23.044362144470213, 23.044362144470213, 22.99614246368408, 23.044362144470213, 22.99614246368408, 23.044362144470213, 22.99614246368408, 23.09258373260498, 23.044362144470213, 23.044362144470213, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 23.044362144470213, 22.99614246368408, 23.044362144470213, 23.044362144470213, 22.99614246368408, 23.09258373260498, 22.99614246368408, 23.044362144470213, 22.99614246368408, 22.99614246368408, 22.99614246368408, 23.044362144470213, 23.044362144470213, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 22.99614246368408, 23.044362144470213, 22.99614246368408, 22.99614246368408, 22.99614246368408, 23.044362144470213, 23.09258373260498, 22.99614246368408, 22.99614246368408, 23.044362144470213, 23.044362144470213, 23.044362144470213, 22.99614246368408, 23.044362144470213, 22.99614246368408, 23.044362144470213, 23.044362144470213]"
TS3,22.617242431640626,0.05443482079712367,-0.3827575683593736,0.013,"[0, 22.732269287109375, 22.732269287109375, 22.73052978515625, 22.7181396484375, 22.7181396484375, 22.71636962890625, 22.71282958984375, 22.707489013671875, 22.70574951171875, 22.7039794921875, 22.696929931640625, 22.693359375, 22.69158935546875, 22.69158935546875, 22.67919921875, 22.68096923828125, 22.68096923828125, 22.6756591796875, 22.672149658203125, 22.670379638671875, 22.66680908203125, 22.659759521484375, 22.663299560546875, 22.665069580078125, 22.656219482421875, 22.654449462890625, 22.65093994140625, 22.649169921875, 22.649169921875, 22.649169921875, 22.64739990234375, 22.64208984375, 22.64208984375, 22.64385986328125, 22.64208984375, 22.6385498046875, 22.631500244140625, 22.63677978515625, 22.631500244140625, 22.631500244140625, 22.629730224609375, 22.6279296875, 22.626190185546875, 22.624420166015625, 22.624420166015625, 22.617340087890625, 22.615570068359375, 22.620849609375, 22.617340087890625, 22.61383056640625, 22.612030029296875, 22.61383056640625, 22.606719970703125, 22.60498046875, 22.6014404296875, 22.59613037109375, 22.597900390625, 22.59613037109375, 22.59613037109375, 22.590850830078125, 22.590850830078125, 22.590850830078125, 22.58380126953125, 22.58380126953125, 22.582000732421875, 22.578460693359375, 22.582000732421875, 22.58026123046875, 22.58026123046875, 22.58026123046875, 22.57318115234375, 22.57318115234375, 22.567901611328125, 22.569671630859375, 22.567901611328125, 22.569671630859375, 22.567901611328125, 22.56610107421875, 22.56610107421875, 22.564361572265625, 22.562591552734375, 22.559051513671875, 22.560821533203125, 22.560821533203125, 22.55731201171875, 22.5555419921875, 22.55731201171875, 22.552001953125, 22.55023193359375, 22.553741455078125, 22.5484619140625, 22.5484619140625, 22.5484619140625, 22.544952392578125, 22.544952392578125, 22.539642333984375, 22.544952392578125, 22.5413818359375, 22.539642333984375, 22.539642333984375, 22.9206298828125, 22.91885986328125, 22.9206298828125, 22.91708984375, 22.91708984375, 22.91708984375, 22.915350341796874, 22.91708984375, 22.91007080078125, 22.9118408203125, 22.9118408203125, 22.91007080078125, 22.91007080078125, 22.9118408203125, 22.91007080078125, 22.90830078125, 22.90653076171875, 22.90653076171875, 22.9047607421875, 22.90653076171875, 22.9047607421875, 22.9047607421875, 22.90653076171875, 22.90299072265625, 22.9047607421875, 22.9047607421875, 22.90299072265625, 22.901190185546874, 22.901190185546874, 22.89591064453125, 22.897711181640624, 22.89591064453125, 22.897711181640624, 22.894171142578124, 22.89591064453125, 22.892401123046874, 22.89591064453125, 22.89591064453125, 22.892401123046874, 22.89591064453125, 22.890631103515624, 22.890631103515624, 22.8888916015625, 22.88712158203125, 22.8888916015625, 22.88358154296875, 22.88358154296875, 22.88358154296875, 22.88358154296875, 22.8853515625, 22.881842041015624, 22.881842041015624, 22.880072021484374, 22.88358154296875, 22.881842041015624, 22.88358154296875, 22.881842041015624, 22.878302001953124, 22.878302001953124, 22.872991943359374, 22.874761962890624, 22.8765625, 22.878302001953124, 22.872991943359374, 22.872991943359374, 22.874761962890624, 22.874761962890624, 22.86771240234375, 22.872991943359374, 22.869482421875, 22.87125244140625, 22.872991943359374, 22.86771240234375, 22.869482421875, 22.86771240234375, 22.869482421875, 22.862432861328124, 22.8659423828125, 22.8659423828125, 22.86771240234375, 22.8659423828125, 22.864202880859374, 22.864202880859374, 22.864202880859374, 22.860662841796874, 22.860662841796874, 22.862432861328124, 22.85892333984375, 22.85892333984375, 22.85892333984375, 22.8571533203125, 22.85538330078125, 22.85538330078125, 22.85538330078125, 22.85361328125, 22.85184326171875, 22.85361328125, 22.85361328125, 22.8500732421875, 22.85184326171875, 22.8500732421875, 22.85184326171875, 22.8500732421875, 22.85361328125, 22.848333740234374, 22.85184326171875, 22.848333740234374, 22.8500732421875, 22.846563720703124, 22.848333740234374, 22.848333740234374, 22.846563720703124]"
